Data from https://doi.org/10.1038/s41467-019-09730-9
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)
342.88	2556.38
342.86	2556.28
342.85	2556.16
342.83	2556.06
342.81	2555.96
342.8	2555.84
342.78	2555.75
342.76	2555.68
342.75	2555.67
342.73	2555.63
342.71	2555.54
342.7	2555.46
342.68	2555.35
342.66	2555.24
342.65	2555.14
342.63	2555.04
342.61	2554.94
342.6	2554.87
342.58	2554.84
342.56	2554.87
342.55	2554.83
342.53	2554.78
342.52	2554.71
342.5	2554.63
342.48	2554.56
342.47	2554.5
342.45	2554.43
342.43	2554.37
342.41	2554.3
342.4	2554.22
342.38	2554.16
342.36	2554.09
342.35	2554.02
342.33	2553.89
342.32	2553.78
342.3	2553.67
342.28	2553.57
342.26	2553.47
342.25	2553.4
342.23	2553.33
342.22	2553.23
342.2	2553.15
342.18	2553.08
342.16	2553.05
342.15	2553
342.13	2552.95
342.12	2552.89
342.1	2552.81
342.08	2552.72
342.07	2552.64
342.05	2552.57
342.03	2552.47
342.02	2552.38
342	2552.32
341.98	2552.25
341.97	2552.19
341.95	2552.16
341.93	2552.11
341.92	2552.07
341.9	2552.03
341.88	2552
341.87	2551.98
341.85	2551.94
341.83	2551.91
341.82	2551.86
341.8	2551.78
341.78	2551.69
341.77	2551.6
341.75	2551.5
341.73	2551.36
341.72	2551.23
341.7	2551.14
341.68	2551.07
341.67	2551.03
341.65	2551.06
341.63	2551.01
341.62	2550.94
341.6	2550.87
341.58	2550.8
341.57	2550.7
341.55	2550.59
341.53	2550.49
341.52	2550.4
341.5	2550.3
341.48	2550.23
341.47	2550.18
341.45	2550.14
341.43	2550.06
341.42	2549.99
341.4	2549.92
341.38	2549.85
341.37	2549.75
341.35	2549.66
341.33	2549.57
341.32	2549.49
341.3	2549.43
341.28	2549.38
341.27	2549.38
341.25	2549.33
341.23	2549.26
341.22	2549.2
341.2	2549.14
341.19	2549.08
341.17	2548.98
341.15	2548.87
341.14	2548.75
341.12	2548.66
341.1	2548.57
341.08	2548.47
341.07	2548.4
341.05	2548.32
341.04	2548.28
341.02	2548.21
341	2548.18
340.99	2548.13
340.97	2548.1
340.95	2548.04
340.93	2547.97
340.92	2547.88
340.9	2547.77
340.89	2547.67
340.87	2547.58
340.85	2547.51
340.84	2547.44
340.82	2547.38
340.8	2547.34
340.79	2547.31
340.77	2547.29
340.75	2547.27
340.74	2547.2
340.72	2547.1
340.7	2546.99
340.68	2546.86
340.67	2546.68
340.65	2546.42
340.64	2546.32
340.62	2546.25
340.6	2546.2
340.59	2546.16
340.57	2546.16
340.55	2546.14
340.54	2546.09
340.52	2546.05
340.5	2546.03
340.49	2545.99
340.47	2545.9
340.45	2545.84
340.44	2545.79
340.42	2545.72
340.4	2545.65
340.39	2545.6
340.37	2545.54
340.35	2545.45
340.34	2545.38
340.32	2545.28
340.3	2545.19
340.29	2545.11
340.27	2545.04
340.25	2544.97
340.24	2544.92
340.22	2544.89
340.2	2544.87
340.19	2544.81
340.17	2544.76
340.15	2544.68
340.14	2544.59
340.12	2544.47
340.1	2544.3
340.09	2544.21
340.07	2544.12
340.05	2544.03
340.04	2543.94
340.02	2543.86
340	2543.76
339.99	2543.67
339.97	2543.56
339.95	2543.44
339.94	2543.31
339.92	2543.2
339.9	2543.11
339.89	2543.03
339.87	2542.96
339.86	2542.9
339.84	2542.85
339.82	2542.78
339.8	2542.69
339.79	2542.61
339.77	2542.53
339.76	2542.44
339.74	2542.33
339.72	2542.23
339.71	2542.12
339.69	2542
339.67	2541.87
339.65	2541.74
339.64	2541.6
339.62	2541.46
339.6	2541.35
339.59	2541.27
339.57	2541.26
339.56	2541.26
339.54	2541.27
339.52	2541.24
339.51	2541.21
339.49	2541.18
339.47	2541.14
339.46	2541.12
339.44	2541.07
339.42	2541.02
339.4	2540.93
339.39	2540.81
339.37	2540.61
339.36	2540.46
339.34	2540.33
339.32	2540.2
339.31	2540.06
339.29	2539.98
339.27	2539.93
339.26	2539.91
339.24	2539.88
339.22	2539.92
339.21	2539.96
339.19	2539.9
339.17	2539.83
339.16	2539.75
339.14	2539.66
339.12	2539.56
339.11	2539.45
339.09	2539.35
339.07	2539.25
339.06	2539.15
339.04	2539.05
339.02	2538.96
339.01	2538.85
338.99	2538.74
338.97	2538.64
338.96	2538.55
338.94	2538.45
338.92	2538.35
338.91	2538.26
338.89	2538.16
338.87	2538.05
338.86	2537.96
338.84	2537.86
338.82	2537.75
338.81	2537.66
338.79	2537.57
338.77	2537.48
338.76	2537.39
338.74	2537.33
338.72	2537.28
338.71	2537.21
338.69	2537.14
338.67	2537.09
338.66	2537.01
338.64	2536.94
338.62	2536.83
338.61	2536.73
338.59	2536.62
